isbn;titulo;autor;ano;preco;estoque;vendas
847;Longa Caminhada até a Liberdade;Nelson Mandela;1994;49.90;6;140
813;A Autobiografia de Benjamin Franklin;Benjamin Franklin;1791;29.90;4;40
969;Steve Jobs: A Biografia;Walter Isaacson;2011;69.90;10;95
101;Einstein: Sua Vida e Universo;Walter Isaacson;2007;54.90;5;60
777;A Vida de Samuel Johnson;James Boswell;1791;39.90;3;30
345;Frida: A Biografia;Hayden Herrera;1983;59.90;8;110
451;O Diário de Anne Frank;Anne Frank;1947;34.90;15;180
935;Eu Sou Malala;Malala Yousafzai;2013;39.90;20;200
426;A Menina do Vale;Beldade;2012;29.90;10;90
759;Churchill: A Biografia;Martin Gilbert;2012;79.90;5;70
