isbn;titulo;autor;ano;preco;estoque;vendas
210;O Poder do Hábito;Charles Duhigg;2012;39.90;10;95
337;Rápido e Devagar: Duas Formas de Pensar;Daniel Kahneman;2011;49.90;8;80
420;Inteligência Emocional;Daniel Goleman;1995;34.90;12;70
555;Mindset: A Nova Psicologia do Sucesso;Carol S. Dweck;2006;39.90;7;65
262;O Andar do Bêbado;Leonard Mlodinow;2008;34.90;9;50
012;A Interpretação dos Sonhos;Sigmund Freud;1899;44.90;6;55
223;O Homem e Seus Símbolos;Carl Jung;1964;49.90;9;75
373;Em Busca de Sentido;Viktor Frankl;1946;29.90;15;120
496;Os 7 Hábitos das Pessoas Altamente Eficazes;Stephen Covey;1989;42.90;20;150
557;Comunicação não-violenta;Marshall B. Rosenberg;1999;37.90;18;130
628;A Coragem de Ser Imperfeito;Brené Brown;2012;39.90;22;180
779;O Corpo Fala;Pierre Weil e Roland Tompakow;1986;32.90;14;100
893;O Erro de Descartes;António Damásio;1994;52.90;10;80
942;Psicologia das Massas e Análise do Eu;Sigmund Freud;1921;35.90;8;60
103;O Efeito Lúcifer;Philip Zimbardo;2007;59.90;7;50
